"ECOLE_ID","ECOLE_NAME_FR","ECOLE_NAME_UK","ECOLE_SHORT_NAME","ECOLE_SHORT_NAME_UK","COUNTRY_ID"
"43143fc2-3144-4744-816e-d3a59357cb26","CENTRE D'INSTRUCTION DE LA GARDE PRESIDENTIELLE","CENTRE D'INSTRUCTION DE LA GARDE PRESIDENTIELLE","CI-GP","CI-GP","02"
"4c023666-cdde-46f8-9cab-d054cd398180","CENTRE D'INSTRUCTION BATAILLON DES TROUPES AEROPORTEES","CENTRE D'INSTRUCTION BATAILLON DES TROUPES AEROPORTEES","CI-BTAP","CI-BTAP","02"
"03daceb4-da1e-4a77-9335-aa8ee201fcf6","CENTRE D'ENTRAINEMENT ET D'AGUERRISSEMENT EN ZONE FORESTIERE","CENTRE D'ENTRAINEMENT ET D'AGUERRISSEMENT EN ZONE FORESTIERE","CEAF","CEAF","02"
"5475bb9b-cff1-4ba0-83fe-e406626889f5","CENTRE D'INSTRUCTION DE LA BASE AERIENNE 401","CENTRE D'INSTRUCTION DE LA BASE AERIENNE 401","CI-BA401","CI-BA401","02"
"da397fb9-3d6e-46fb-a992-39f08e7d6cdd","CHARLES DE GAULLE","CHARLES DE GAULLE","CG","CG","02"
"0e457472-48fe-4c03-96d2-91d68db59a76","21° REGEN","21° REGEN","21°REG","21°REG","02"
"30ffbcfb-f146-445b-9f2e-9076f4145748","CENTRE D'INSTRUCTION DE LA MARINE ROYALE","CENTRE D'INSTRUCTION DE LA MARINE ROYALE","CIMR","CIMR","15"
"a507448b-1b23-422b-b578-31888353ea08","ACADEMIE NAVALE DES ETATS UNIS","ACADEMIE NAVALE DES ETATS UNIS","ANES","ANES","02"
"67618f98-c2c5-4e17-a9cd-30a57782da8c","MTAP-CAMP ALDERSHOT","MTAP-CAMP ALDERSHOT","MTAP-CA","MTAP-CA","33"
"2e8ed254-3cd1-45b7-af28-5764e7fe5fba","DAT BOUAKE","DAT BOUAKE","DAT ","DAT","08"
"c6827c34-7ab7-4908-94da-6ae9446267ca","BATAILLON DES TRANSMISSIONS","BATAILLON DES TRANSMISSIONS","BATRANS","BATRANS","02"
